omega_keV,dPhi_dw_ma0keV_cm2_s_keV,dPhi_dw_ma10keV_cm2_s_keV,dPhi_dw_ma130keV_cm2_s_keV
11.9640,1.386279e+09,7.610324e+08,0.000000e+00
12.0040,1.352185e+09,7.480153e+08,0.000000e+00
12.0440,1.318893e+09,7.350613e+08,0.000000e+00
12.0840,1.286386e+09,7.221804e+08,0.000000e+00
12.1239,1.254645e+09,7.093820e+08,0.000000e+00
12.1639,1.223655e+09,6.966746e+08,0.000000e+00
12.2039,1.193399e+09,6.840660e+08,0.000000e+00
12.2439,1.163859e+09,6.715633e+08,0.000000e+00
12.2839,1.135021e+09,6.591730e+08,0.000000e+00
12.3238,1.106868e+09,6.469009e+08,0.000000e+00
12.3638,1.079385e+09,6.347525e+08,0.000000e+00
12.4038,1.052557e+09,6.227325e+08,0.000000e+00
12.4438,1.026370e+09,6.108452e+08,0.000000e+00
12.4838,1.000808e+09,5.990945e+08,0.000000e+00
12.5237,9.758588e+08,5.874839e+08,0.000000e+00
12.5637,9.515070e+08,5.760164e+08,0.000000e+00
12.6037,9.277396e+08,5.646947e+08,0.000000e+00
12.6437,9.045433e+08,5.535212e+08,0.000000e+00
12.6837,8.819051e+08,5.424978e+08,0.000000e+00
12.7236,8.598123e+08,5.316263e+08,0.000000e+00
12.7636,8.382524e+08,5.209081e+08,0.000000e+00
12.8036,8.172132e+08,5.103444e+08,0.000000e+00
12.8436,7.966828e+08,4.999361e+08,0.000000e+00
12.8836,7.766495e+08,4.896839e+08,0.000000e+00
12.9235,7.571019e+08,4.795883e+08,0.000000e+00
12.9635,7.380287e+08,4.696495e+08,0.000000e+00
13.0035,7.194191e+08,4.598676e+08,0.000000e+00
13.0435,7.012623e+08,4.502426e+08,0.000000e+00
13.0835,6.835477e+08,4.407742e+08,0.000000e+00
13.1234,6.662653e+08,4.314621e+08,0.000000e+00
13.1634,6.494048e+08,4.223056e+08,0.000000e+00
13.2034,6.329565e+08,4.133042e+08,0.000000e+00
13.2434,6.169108e+08,4.044570e+08,0.000000e+00
13.2834,6.012583e+08,3.957633e+08,0.000000e+00
13.3233,5.859897e+08,3.872219e+08,0.000000e+00
13.3633,5.710961e+08,3.788319e+08,0.000000e+00
13.4033,5.565687e+08,3.705920e+08,0.000000e+00
13.4433,5.423989e+08,3.625010e+08,0.000000e+00
13.4833,5.285782e+08,3.545576e+08,0.000000e+00
13.5232,5.150985e+08,3.467603e+08,0.000000e+00
13.5632,5.019516e+08,3.391079e+08,0.000000e+00
13.6032,4.891297e+08,3.315987e+08,0.000000e+00
13.6432,4.766251e+08,3.242312e+08,0.000000e+00
